Date,Time,Temp (°C) c:1,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
11/6/22,11:10:00,25.817,,,,,
11/6/22,11:20:00,26.036,,,,,
11/6/22,11:30:00,26.231,,,,,
11/6/22,11:40:00,26.524,,,,,
11/6/22,11:50:00,26.695,,,,,
11/6/22,12:00:00,26.842,,,,,
11/6/22,12:10:00,27.235,,,,,
11/6/22,12:20:00,27.53,,,,,
11/6/22,12:30:00,27.677,,,,,
11/6/22,12:40:00,27.974,,,,,
11/6/22,12:50:00,28.196,,,,,
11/6/22,13:00:00,28.419,,,,,
11/6/22,13:10:00,28.543,,,,,
11/6/22,13:20:00,28.543,,,,,
11/6/22,13:30:00,28.568,,,,,
11/6/22,13:40:00,28.766,,,,,
11/6/22,13:50:00,28.866,,,,,
11/6/22,14:00:00,28.891,,,,,
11/6/22,14:10:00,28.99,,,,,
11/6/22,14:20:00,29.215,,,,,
11/6/22,14:30:00,29.29,,,,,
11/6/22,14:40:00,29.389,,,,,
11/6/22,14:50:00,29.515,,,,,
11/6/22,15:00:00,29.54,,,,,
11/6/22,15:10:00,29.615,,,,,
11/6/22,15:20:00,29.59,,,,,
11/6/22,15:30:00,29.59,,,,,
11/6/22,15:40:00,29.515,,,,,
11/6/22,15:50:00,29.464,,,,,
11/6/22,16:00:00,29.464,,,,,
11/6/22,16:10:00,29.389,,,,,
11/6/22,16:20:00,29.34,,,,,
11/6/22,16:30:00,29.265,,,,,
11/6/22,16:40:00,29.165,,,,,
11/6/22,16:50:00,29.215,,,,,
11/6/22,17:00:00,29.14,,,,,
11/6/22,17:10:00,29.065,,,,,
11/6/22,17:20:00,29.065,,,,,
11/6/22,17:30:00,28.99,,,,,
11/6/22,17:40:00,28.891,,,,,
11/6/22,17:50:00,28.841,,,,,
11/6/22,18:00:00,28.791,,,,,
11/6/22,18:10:00,28.717,,,,,
11/6/22,18:20:00,28.593,,,,,
11/6/22,18:30:00,28.493,,,,,
11/6/22,18:40:00,28.394,,,,,
11/6/22,18:50:00,28.27,,,,,
11/6/22,19:00:00,28.122,,,,,
11/6/22,19:10:00,27.998,,,,,
11/6/22,19:20:00,27.899,,,,,
11/6/22,19:30:00,27.776,,,,,
11/6/22,19:40:00,27.677,,,,,
11/6/22,19:50:00,27.604,,,,,
11/6/22,20:00:00,27.505,,,,,
11/6/22,20:10:00,27.431,,,,,
11/6/22,20:20:00,27.358,,,,,
11/6/22,20:30:00,27.284,,,,,
11/6/22,20:40:00,27.21,,,,,
11/6/22,20:50:00,27.136,,,,,
11/6/22,21:00:00,27.063,,,,,
11/6/22,21:10:00,26.989,,,,,
11/6/22,21:20:00,26.916,,,,,
11/6/22,21:30:00,26.842,,,,,
11/6/22,21:40:00,26.818,,,,,
11/6/22,21:50:00,26.744,,,,,
11/6/22,22:00:00,26.671,,,,,
11/6/22,22:10:00,26.646,,,,,
11/6/22,22:20:00,26.598,,,,,
11/6/22,22:30:00,26.549,,,,,
11/6/22,22:40:00,26.5,,,,,
11/6/22,22:50:00,26.451,,,,,
11/6/22,23:00:00,26.451,,,,,
11/6/22,23:10:00,26.451,,,,,
11/6/22,23:20:00,26.426,,,,,
11/6/22,23:30:00,26.378,,,,,
11/6/22,23:40:00,26.329,,,,,
11/6/22,23:50:00,26.304,,,,,
